ID,Item,Brand,Quantity,Price,Category,Description,Photo
01,Koolatron Coca-Cola Can 0.35 Cu. Ft. Freestanding Bar Fridge (CC12),Koolatron,10,$149.99,Refrigerator,"The Coca-Cola Can fridge looks like a giant can of Coke, but it's so much more than that. This thermoelectric personal cooler can hold 12 cans or two 2L bottles, and keeps your drinks nicely chilled. It plugs into an electrical outlet or your car's cigarette lighter.",1.jpg
02,Danby 3.3 Cu. Ft. Bar Fridge (DAR033A6BDB) - Matte Black - Online Only,Danby,10,$279.99,Refrigerator,"Danby's 3.3 cu. ft. capacity counter-high fridge offers a compact storage solution that's ideal for lunchrooms, smaller kitchens, wet bars, and dorms. It features Danby's CanStor beverage dispenser so you can easily access your favourite chilled beverage, and a reversible door hinge so you can place the fridge where it's most convenient.",2.jpg
03,"Insignia 24"" 11.5 Cu. Ft. Top Freezer Refrigerator (NS-RTM12SS7-C) - Stainless Steel",Insignia,10,$499.99,Refrigerator,"Keep all of your supermarket finds fresh or frozen with this Insignia 11.5 cu. ft. fridge. It features a top-mount freezer that keeps all of your favourite frozen treats at a convenient level. The fresh food compartment has 4 full-width, spill-proof shelves, 4L bottle storage bin, and 2 crisper drawers to help your fruits and veggies stay fresh.",3.jpg
04,"Insignia 30"" 18 Cu. Ft. Top Freezer Refrigerator with LED Lighting (NS-RTM18WH7) - White",Insignia,10,$599.99,Refrigerator,"Keep all of your supermarket finds fresh or frozen with this Insignia 18 cu. ft. fridge. It features a top-mount freezer that keeps all of your favourite frozen treats at a convenient level. The fresh food compartment includes 2 adjustable spill-proof shelves, adjustable storage bins, and 2 crisper drawers to help your fruits and veggies stay fresh.",4.jpg
05,"Samsung Family Hub 36"" 24.2 CuFt French Door Refrigerator with Ice & Water Dispenser-Stainless Steel",Samsung,10,"$2,799.99",Refrigerator,"Welcome to the Samsung Family Hub refrigerator. It features a 21.5"" Wi-Fi-enabled touchscreen on the door to put a kitchen command center at your fingertips. It covers food management, family connection, and kitchen entertainment in a way that refrigerators simply haven't been able to do...until now.",5.jpg
06,"KitchenAid 43"" 24.2 Cu. Ft. French Door Refrigerator (KBFN402ESS) - Stainless Steel",KitchenAid,10,"$8,999.99",Refrigerator,"There's more than enough room for your favourite foods in the KitchenAid KBFN402ESS 24.2 cu. ft. built-in French door refrigerator. Its Preserva food care system keeps foods fresh, flavourful, and free of freezer burn, while LED lighting offers energy-efficient illumination. Thanks to the spill-resistant glass shelves, cleaning the fridge is a breeze.",6.jpg
07,Wolf Gourmet Toaster - 4-Slice - Stainless Steel,Wolf Gourmet,10,$549.99,Toaster,"From breads to waffles and pastries to bagels, the Wolf Gourmet toaster can handle it all. It features self-centering bread guides to perfectly position your baked goods for even browning. Dual controls allow you to toast different foods at different settings -- all at the same time.",7.jpg
08,Dualit Gold Toaster,Dualit,1,"$1,499.99",Toaster,"The 4 slice NewGen toaster available in a selection of finishes* is perfect for the whole family, or canteen, and offers all the same functionality as the 2 slice NewGen, with defrost and bagel settings as well as Dualit's classic styling, mechanical timer and ejector lever. The selector control allows you to heat one, two, three or all four slots.",8.jpg
09,Bugatti The Noun Toaster,Bugatti,2,"$1,399.99",Toaster,"A new, unique and exciting way of cooking in glass transparency. Thanks to the exclusive GTH Technology and far-infrared rays (FIR), found in nature and known for their beneficial properties, you can create perfect dishes and at the same time healthy and full of flavor. Each food, meat, fish, vegetables and bread, can be cooked by setting the ideal temperature, adjustable from 50 ° C to 300 ° C. (122°F to 572°F).The heat enshroud the dish, penetrating it deeply and evenly, bringing out aromas and flavours and preserving nutritional properties, achieving a perfect, healthy and full of flavour cooking. Cooking by direct contact prevents heat dispersion and excess heat. Fast and efficient, Noun reaches 300°C in just 80 seconds.",9.jpg
10,Dyson V7 Cordless Stick Vacuum,Dyson,10,$299.99,Vacuum,"Tackle untidiness before it becomes a full-on mess with the Dyson V7 Complete cordless stick vacuum. With up to 30 minutes of continuous suction, you’ll be able to quickly whip your home into shape without having to lug a full-size vacuum around. The direct-driver head has 75% more power than the V6 model to efficiently pull up crumbs and dirt from carpeted floors, while the special max power mode means you can switch up the suction to clean up those resistant messes. It even converts to a handheld vac – perfect for the office, car or camper.",10.jpg
11,Miele Blizzard CX1 Cat & Dog Bagless Canister Vacuum,Miele,10,$999.97,Vacuum,"Get pet fur, dander and allergens under control without breaking a sweat, thanks to Miele’s Blizzard CX1 canister vacuum. Go bag-free and eliminate dirty dustbin trips with the hygienic design of this canister vacuum. A Gore® CleanStream® filter ensures fine dust particles are kept contained and helps keep suction levels from failing as you vacuum. Perfect for sensitive allergy sufferers, this ultra-clean canister vacuum can be counted on to eliminate over 99.999% of house dust. In addition, bacteria, allergens and mould spores remain safely in the dustbag.",11.jpg
12,Dyson Cinetic™ Big Ball™ Multi-Floor Vacuum,Dyson,10,$699.99,Vacuum,"Clean your home with ease using this Dyson Cinetic Big Ball Multi-Floor canister vacuum. Made with Ball technology, this vacuum manoeuvres easily around corners and obstacles, and even self-rights itself after being toppled over. Dyson Cinetic science uses 36 oscillating cyclone tips to ensure there's no loss of suction. The carbon fibre turbine tool picks up fine dust and ground-in dirt to make vacuuming less of a chore, while the articulated handle gives you full 360-degree articulation for easy and versatile cleaning. Plus, the hygienic bin-emptying mechanism ensures dirt and dust go straight into the garbage – no need to get your hands dirty.",12.jpg
13,"Insignia 30"" True Convection Freestanding Smooth Top Electric Range",Insignia,10,$899.99,Stove,"Elevate your culinary capabilities with the Insignia 30"" freestanding electric range featuring a true convection oven and smooth, ceramic cooktop with four multi-sized burners. Cook several dishes at once with this large design that includes a self-cleaning oven with steam option and a top that lets you wipe away messes in a flash.",13.jpg
14,"LG 30"" 6.3 Cu. Ft. True Convection Slide-In Smooth Top Electric Range - Stainless Steel",LG,10,"$1,699.99",Stove,"Inspired by professional ranges, this 30"" slide-in electric range from LG makes a premium addition to any modern kitchen. It offers 6.3 cu. ft. of oven capacity, 5 radiant cooktop elements, and True Convection cooking, so each dish is cooked to mouthwatering precision. The LG EasyClean function turns baked-on food into wipe-away grime in minutes.",14.jpg
